	Sample	Family ID	Population	Population Description	Gender	centers
1027	HG02024	VN049	KHV	Kinh in Ho Chi Minh City, Vietnam	female	['BI']
1028	HG02025	VN049	KHV	Kinh in Ho Chi Minh City, Vietnam	female	['BI']
1029	HG02026	VN049	KHV	Kinh in Ho Chi Minh City, Vietnam	male	['BI']
1080	HG02095	BB16	ACB	African Caribbean in Barbados	female	['BI']
1086	HG02108	BB18	ACB	African Caribbean in Barbados	female	['BI']
1087	HG02111	BB19	ACB	African Caribbean in Barbados	female	['BI']
1110	HG02143	BB20	ACB	African Caribbean in Barbados	male	['BI']
1150	HG02223	IBS057	IBS	Iberian populations in Spain	female	['SC', 'BI']
1151	HG02224	IBS057	IBS	Iberian populations in Spain	male	['SC', 'BI']
1192	HG02283	BB25	ACB	African Caribbean in Barbados	male	['BI']
1193	HG02284	BB26	ACB	African Caribbean in Barbados	male	['BI']
1348	HG02570	GB21	GWD	Gambian in Western Division, The Gambia	male	['BI']
1349	HG02571	GB21	GWD	Gambian in Western Division, The Gambia	female	['BI']
1351	HG02573	GB22	GWD	Gambian in Western Division, The Gambia	male	['BI']
1352	HG02574	GB22	GWD	Gambian in Western Division, The Gambia	female	['BI']
1356	HG02582	GB23	GWD	Gambian in Western Division, The Gambia	male	['BI']
1357	HG02583	GB23	GWD	Gambian in Western Division, The Gambia	female	['BI']
1406	HG02654	PK13	PJL	Punjabi in Lahore,Pakistan	male	['BI']
1407	HG02655	PK13	PJL	Punjabi in Lahore,Pakistan	female	['BI']
1409	HG02657	PK14	PJL	Punjabi in Lahore,Pakistan	male	['BI']
1410	HG02658	PK14	PJL	Punjabi in Lahore,Pakistan	female	['BI']
1412	HG02660	PK15	PJL	Punjabi in Lahore,Pakistan	male	['BI']
1413	HG02661	PK15	PJL	Punjabi in Lahore,Pakistan	female	['BI']
1639	HG03072	SL08	MSL	Mende in Sierra Leone	male	['SC', 'BI']
1644	HG03078	HG03078	MSL	Mende in Sierra Leone	male	['BI']
1649	HG03084	HG03084	MSL	Mende in Sierra Leone	male	['BI']
1656	HG03097	SL16	MSL	Mende in Sierra Leone	female	['BI']
1658	HG03099	NG26	ESN	Esan in Nigeria	female	['BI']
1659	HG03100	NG26	ESN	Esan in Nigeria	male	['BI']
1665	HG03108	NG29	ESN	Esan in Nigeria	female	['BI']
1666	HG03109	NG29	ESN	Esan in Nigeria	male	['BI']
1671	HG03114	NG31	ESN	Esan in Nigeria	female	['BI']
1672	HG03115	NG31	ESN	Esan in Nigeria	male	['BI']
1835	HG03437	HG03437	MSL	Mende in Sierra Leone	female	['SC', 'BI']
1844	HG03452	SL50	MSL	Mende in Sierra Leone	female	['BI']
1921	HG03585	BD4	BEB	Bengali in Bangladesh	male	['SC', 'BI']
1925	HG03593	BD6	BEB	Bengali in Bangladesh	male	['SC', 'BI']
1939	HG03615	BD14	BEB	Bengali in Bangladesh	male	['BI']
1981	HG03681	ST011	STU	Sri Lankan Tamil in the UK	male	['BI']
1984	HG03684	ST012	STU	Sri Lankan Tamil in the UK	female	['BI']
1985	HG03685	ST013	STU	Sri Lankan Tamil in the UK	male	['BI']
1992	HG03692	ST020	STU	Sri Lankan Tamil in the UK	female	['BI']
1993	HG03693	ST021	STU	Sri Lankan Tamil in the UK	male	['BI']
2019	HG03720	IT052	ITU	Indian Telugu in the UK	male	['SC', 'BI']
2024	HG03727	IT003	ITU	Indian Telugu in the UK	male	['BI']
2025	HG03729	IT013	ITU	Indian Telugu in the UK	male	['BI']
2026	HG03730	IT011	ITU	Indian Telugu in the UK	female	['BI']
2027	HG03731	IT013	ITU	Indian Telugu in the UK	female	['BI']
2033	HG03741	ST038	STU	Sri Lankan Tamil in the UK	female	['BI']
2054	HG03770	IT016	ITU	Indian Telugu in the UK	female	['BI']
2075	HG03793	BD15	BEB	Bengali in Bangladesh	female	['BI']
2078	HG03796	BD16	BEB	Bengali in Bangladesh	female	['BI']
2084	HG03802	BD18	BEB	Bengali in Bangladesh	female	['BI']
2377	NA07051	13292	CEU	Utah residents with Northern and Western European ancestry	male	['ILLUMINA', 'BI']
2383	NA07347	1345	CEU	Utah residents with Northern and Western European ancestry	male	['BI']
2415	NA11829	1350	CEU	Utah residents with Northern and Western European ancestry	male	['BI', 'BCM']
2429	NA11918	1423	CEU	Utah residents with Northern and Western European ancestry	female	['BI']
2431	NA11920	1423	CEU	Utah residents with Northern and Western European ancestry	female	['BI']
2450	NA12058	1344	CEU	Utah residents with Northern and Western European ancestry	female	['BI']
2554	NA18504	Y005	YRI	Yoruba in Ibadan, Nigeria	male	['BI']
2560	NA18510	Y010a	YRI	Yoruba in Ibadan, Nigeria	male	['BI']
2563	NA18516	Y013	YRI	Yoruba in Ibadan, Nigeria	male	['BI']
2567	NA18520	Y014	YRI	Yoruba in Ibadan, Nigeria	female	['BI']
2584	NA18539	NA18539	CHB	Han Chinese in Bejing, China	female	['BI']
2585	NA18541	NA18541	CHB	Han Chinese in Bejing, China	female	['BI']
2596	NA18553	NA18553	CHB	Han Chinese in Bejing, China	female	['BI']
2657	NA18636	NA18636	CHB	Han Chinese in Bejing, China	male	['BGI', 'BI']
2658	NA18637	NA18637	CHB	Han Chinese in Bejing, China	male	['BGI', 'BI']
2659	NA18638	NA18638	CHB	Han Chinese in Bejing, China	male	['BGI', 'SC', 'BI']
2693	NA18867	Y007	YRI	Yoruba in Ibadan, Nigeria	female	['BI']
2696	NA18870	Y017	YRI	Yoruba in Ibadan, Nigeria	female	['MPIMG', 'BI']
2747	NA18961	NA18961	JPT	Japanese in Tokyo, Japan	male	['BI']
2768	NA18982	NA18982	JPT	Japanese in Tokyo, Japan	male	['BI']
2769	NA18983	NA18983	JPT	Japanese in Tokyo, Japan	male	['BI']
2788	NA19003	NA19003	JPT	Japanese in Tokyo, Japan	female	['BI']
2795	NA19011	NA19011	JPT	Japanese in Tokyo, Japan	female	['BGI', 'BI']
2801	NA19024	NA19024	LWK	Luhya in Webuye, Kenya	female	['BI']
2806	NA19030	NA19030	LWK	Luhya in Webuye, Kenya	female	['BI']
2817	NA19054	NA19054	JPT	Japanese in Tokyo, Japan	female	['BI']
2975	NA19323	NA19323	LWK	Luhya in Webuye, Kenya	female	['BI']
2983	NA19346	NA19346	LWK	Luhya in Webuye, Kenya	male	['BI']
2984	NA19347	NA19347	LWK	Luhya in Webuye, Kenya	male	['BI']
2985	NA19350	NA19350	LWK	Luhya in Webuye, Kenya	male	['BI']
3066	NA19657	m007	MXL	Mexican Ancestry in Los Angeles, California	female	['BI']
3067	NA19658	m007	MXL	Mexican Ancestry in Los Angeles, California	male	['BI']
3069	NA19660	m008	MXL	Mexican Ancestry in Los Angeles, California	female	['BI']
3070	NA19661	m008	MXL	Mexican Ancestry in Los Angeles, California	male	['BI']
3072	NA19663	m012	MXL	Mexican Ancestry in Los Angeles, California	female	['BI']
3073	NA19664	m012	MXL	Mexican Ancestry in Los Angeles, California	male	['BI']
3098	NA19707	2369	ASW	African Ancestry in Southwest US	female	['BI']
3101	NA19712	2371	ASW	African Ancestry in Southwest US	female	['BI']
3102	NA19713	2436	ASW	African Ancestry in Southwest US	female	['BI']
3176	NA19818	2418	ASW	African Ancestry in Southwest US	male	['BI']
3179	NA19834	2424	ASW	African Ancestry in Southwest US	male	['BI']
3182	NA19900	2425	ASW	African Ancestry in Southwest US	male	['BI']
3339	NA20767	NA20767	TSI	Toscani in Italy	male	['BGI', 'BI']
3340	NA20768	NA20768	TSI	Toscani in Italy	female	['SC', 'BI']
3341	NA20769	NA20769	TSI	Toscani in Italy	female	['SC', 'BI']
3342	NA20770	NA20770	TSI	Toscani in Italy	male	['SC', 'BI']
3343	NA20771	NA20771	TSI	Toscani in Italy	female	['SC', 'BI']
3348	NA20778	NA20778	TSI	Toscani in Italy	male	['SC', 'BI']
3393	NA20852	NA20852	GIH	Gujarati Indian in Houston,TX	male	['SC', 'BI']
3394	NA20853	NA20853	GIH	Gujarati Indian in Houston,TX	female	['SC', 'BI']
3395	NA20854	NA20854	GIH	Gujarati Indian in Houston,TX	female	['SC', 'BI']
3396	NA20856	NA20856	GIH	Gujarati Indian in Houston,TX	female	['SC', 'BI']
3397	NA20858	NA20858	GIH	Gujarati Indian in Houston,TX	male	['SC', 'BI']
3399	NA20861	NA20861	GIH	Gujarati Indian in Houston,TX	male	['SC', 'BI']
