	Sample	Family ID	Population	Population Description	Gender	centers
612	HG01383	CLM40	CLM	Colombian in Medellin, Colombia	male	['ILLUMINA', 'BI']
613	HG01384	CLM40	CLM	Colombian in Medellin, Colombia	female	['ILLUMINA', 'BI']
639	HG01438	CLM45	CLM	Colombian in Medellin, Colombia	female	['BI']
805	HG01697	IBS035	IBS	Iberian populations in Spain	female	['MPIMG', 'BI']
807	HG01699	IBS035	IBS	Iberian populations in Spain	male	['MPIMG', 'BI']
812	HG01704	IBS037	IBS	Iberian populations in Spain	female	['BI']
813	HG01705	IBS037	IBS	Iberian populations in Spain	male	['BI']
815	HG01707	IBS038	IBS	Iberian populations in Spain	female	['BI']
816	HG01708	IBS038	IBS	Iberian populations in Spain	male	['BI']
817	HG01709	IBS039	IBS	Iberian populations in Spain	male	['BI']
818	HG01710	IBS039	IBS	Iberian populations in Spain	female	['BI']
820	HG01746	IBS041	IBS	Iberian populations in Spain	female	['BI']
821	HG01747	IBS041	IBS	Iberian populations in Spain	male	['BI']
898	HG01862	VN029	KHV	Kinh in Ho Chi Minh City, Vietnam	female	['BI']
899	HG01863	VN030	KHV	Kinh in Ho Chi Minh City, Vietnam	female	['BI']
900	HG01864	VN031	KHV	Kinh in Ho Chi Minh City, Vietnam	male	['BI']
901	HG01865	VN032	KHV	Kinh in Ho Chi Minh City, Vietnam	male	['BI']
902	HG01866	VN033	KHV	Kinh in Ho Chi Minh City, Vietnam	male	['BI']
903	HG01867	VN034	KHV	Kinh in Ho Chi Minh City, Vietnam	male	['BI']
904	HG01868	VN035	KHV	Kinh in Ho Chi Minh City, Vietnam	female	['BI']
905	HG01869	VN036	KHV	Kinh in Ho Chi Minh City, Vietnam	female	['BI']
918	HG01885	BB03	ACB	African Caribbean in Barbados	male	['BI']
945	HG01926	PEL011	PEL	Peruvian in Lima, Peru	male	['BI']
946	HG01927	PEL011	PEL	Peruvian in Lima, Peru	female	['BI']
948	HG01932	PEL013	PEL	Peruvian in Lima, Peru	male	['BI']
949	HG01933	PEL013	PEL	Peruvian in Lima, Peru	female	['BI']
951	HG01935	PEL014	PEL	Peruvian in Lima, Peru	male	['BI']
952	HG01936	PEL014	PEL	Peruvian in Lima, Peru	female	['BI']
954	HG01938	PEL015	PEL	Peruvian in Lima, Peru	male	['BI']
955	HG01939	PEL015	PEL	Peruvian in Lima, Peru	female	['BI']
957	HG01941	PEL016	PEL	Peruvian in Lima, Peru	male	['BI']
958	HG01942	PEL016	PEL	Peruvian in Lima, Peru	female	['BI']
960	HG01944	PEL017	PEL	Peruvian in Lima, Peru	male	['BI']
961	HG01945	PEL017	PEL	Peruvian in Lima, Peru	female	['BI']
972	HG01956	BB03	ACB	African Caribbean in Barbados	female	['BI']
999	HG01988	BB11	ACB	African Caribbean in Barbados	male	['SC', 'BI']
1000	HG01989	BB11	ACB	African Caribbean in Barbados	female	['SC', 'BI']
1026	HG02023	VN048	KHV	Kinh in Ho Chi Minh City, Vietnam	male	['BI']
1027	HG02024	VN049	KHV	Kinh in Ho Chi Minh City, Vietnam	female	['BI']
1028	HG02025	VN049	KHV	Kinh in Ho Chi Minh City, Vietnam	female	['BI']
1029	HG02026	VN049	KHV	Kinh in Ho Chi Minh City, Vietnam	male	['BI']
1044	HG02052	BB14	ACB	African Caribbean in Barbados	female	['BI']
1080	HG02095	BB16	ACB	African Caribbean in Barbados	female	['BI']
1085	HG02107	BB18	ACB	African Caribbean in Barbados	male	['BI']
1086	HG02108	BB18	ACB	African Caribbean in Barbados	female	['BI']
1087	HG02111	BB19	ACB	African Caribbean in Barbados	female	['BI']
1110	HG02143	BB20	ACB	African Caribbean in Barbados	male	['BI']
1150	HG02223	IBS057	IBS	Iberian populations in Spain	female	['SC', 'BI']
1151	HG02224	IBS057	IBS	Iberian populations in Spain	male	['SC', 'BI']
1192	HG02283	BB25	ACB	African Caribbean in Barbados	male	['BI']
1193	HG02284	BB26	ACB	African Caribbean in Barbados	male	['BI']
1290	HG02461	GB15	GWD	Gambian in Western Division, The Gambia	male	['BI']
1291	HG02462	GB15	GWD	Gambian in Western Division, The Gambia	female	['BI']
1293	HG02464	GB16	GWD	Gambian in Western Division, The Gambia	male	['BI']
1294	HG02465	GB16	GWD	Gambian in Western Division, The Gambia	female	['BI']
1308	HG02490	PK06	PJL	Punjabi in Lahore,Pakistan	male	['BI']
1309	HG02491	PK06	PJL	Punjabi in Lahore,Pakistan	female	['BI']
1342	HG02561	GB18	GWD	Gambian in Western Division, The Gambia	male	['BI']
1343	HG02562	GB18	GWD	Gambian in Western Division, The Gambia	female	['BI']
1348	HG02570	GB21	GWD	Gambian in Western Division, The Gambia	male	['BI']
1349	HG02571	GB21	GWD	Gambian in Western Division, The Gambia	female	['BI']
1351	HG02573	GB22	GWD	Gambian in Western Division, The Gambia	male	['BI']
1352	HG02574	GB22	GWD	Gambian in Western Division, The Gambia	female	['BI']
1356	HG02582	GB23	GWD	Gambian in Western Division, The Gambia	male	['BI']
1357	HG02583	GB23	GWD	Gambian in Western Division, The Gambia	female	['BI']
1370	HG02600	PK09	PJL	Punjabi in Lahore,Pakistan	male	['BI']
1371	HG02601	PK09	PJL	Punjabi in Lahore,Pakistan	female	['BI']
1373	HG02603	PK10	PJL	Punjabi in Lahore,Pakistan	male	['BI']
1374	HG02604	PK10	PJL	Punjabi in Lahore,Pakistan	female	['BI']
1406	HG02654	PK13	PJL	Punjabi in Lahore,Pakistan	male	['BI']
1407	HG02655	PK13	PJL	Punjabi in Lahore,Pakistan	female	['BI']
1409	HG02657	PK14	PJL	Punjabi in Lahore,Pakistan	male	['BI']
1410	HG02658	PK14	PJL	Punjabi in Lahore,Pakistan	female	['BI']
1412	HG02660	PK15	PJL	Punjabi in Lahore,Pakistan	male	['BI']
1413	HG02661	PK15	PJL	Punjabi in Lahore,Pakistan	female	['BI']
1556	HG02922	NG06	ESN	Esan in Nigeria	female	['BI']
1557	HG02923	NG06	ESN	Esan in Nigeria	male	['BI']
1563	HG02943	NG13	ESN	Esan in Nigeria	female	['BI']
1564	HG02944	NG13	ESN	Esan in Nigeria	male	['BI']
1580	HG02973	NG23	ESN	Esan in Nigeria	male	['BI']
1581	HG02974	NG23	ESN	Esan in Nigeria	female	['BI']
1592	HG03006	BD01	BEB	Bengali in Bangladesh	male	['BI']
1593	HG03007	BD01	BEB	Bengali in Bangladesh	female	['BI']
1595	HG03009	HG03009	BEB	Bengali in Bangladesh	male	['SC', 'BI']
1596	HG03012	BD3	BEB	Bengali in Bangladesh	male	['SC', 'BI']
1623	HG03052	SL01	MSL	Mende in Sierra Leone	female	['BI']
1628	HG03057	HG03057	MSL	Mende in Sierra Leone	male	['BI']
1629	HG03058	SL03	MSL	Mende in Sierra Leone	female	['BI']
1637	HG03066	SL06	MSL	Mende in Sierra Leone	male	['SC', 'BI']
1638	HG03069	SL07	MSL	Mende in Sierra Leone	male	['SC', 'BI']
1639	HG03072	SL08	MSL	Mende in Sierra Leone	male	['SC', 'BI']
1644	HG03078	HG03078	MSL	Mende in Sierra Leone	male	['BI']
1649	HG03084	HG03084	MSL	Mende in Sierra Leone	male	['BI']
1650	HG03085	HG03085	MSL	Mende in Sierra Leone	female	['BI']
1656	HG03097	SL16	MSL	Mende in Sierra Leone	female	['BI']
1658	HG03099	NG26	ESN	Esan in Nigeria	female	['BI']
1659	HG03100	NG26	ESN	Esan in Nigeria	male	['BI']
1665	HG03108	NG29	ESN	Esan in Nigeria	female	['BI']
1666	HG03109	NG29	ESN	Esan in Nigeria	male	['BI']
1671	HG03114	NG31	ESN	Esan in Nigeria	female	['BI']
1672	HG03115	NG31	ESN	Esan in Nigeria	male	['BI']
1835	HG03437	HG03437	MSL	Mende in Sierra Leone	female	['SC', 'BI']
1844	HG03452	SL50	MSL	Mende in Sierra Leone	female	['BI']
1921	HG03585	BD4	BEB	Bengali in Bangladesh	male	['SC', 'BI']
1923	HG03589	BD05	BEB	Bengali in Bangladesh	female	['SC', 'BI']
1925	HG03593	BD6	BEB	Bengali in Bangladesh	male	['SC', 'BI']
1939	HG03615	BD14	BEB	Bengali in Bangladesh	male	['BI']
1940	HG03616	BD14	BEB	Bengali in Bangladesh	female	['BI']
1959	HG03642	ST006	STU	Sri Lankan Tamil in the UK	female	['BI']
1960	HG03643	ST004	STU	Sri Lankan Tamil in the UK	female	['BI']
1961	HG03644	ST004	STU	Sri Lankan Tamil in the UK	male	['BI']
1978	HG03673	ST010	STU	Sri Lankan Tamil in the UK	female	['BI']
1979	HG03679	ST006	STU	Sri Lankan Tamil in the UK	male	['BI']
1980	HG03680	ST009	STU	Sri Lankan Tamil in the UK	male	['BI']
1981	HG03681	ST011	STU	Sri Lankan Tamil in the UK	male	['BI']
1984	HG03684	ST012	STU	Sri Lankan Tamil in the UK	female	['BI']
1985	HG03685	ST013	STU	Sri Lankan Tamil in the UK	male	['BI']
1992	HG03692	ST020	STU	Sri Lankan Tamil in the UK	female	['BI']
1993	HG03693	ST021	STU	Sri Lankan Tamil in the UK	male	['BI']
2012	HG03713	IT001	ITU	Indian Telugu in the UK	male	['BI']
2013	HG03714	IT009	ITU	Indian Telugu in the UK	female	['BI']
2014	HG03715	IT001	ITU	Indian Telugu in the UK	male	['BI']
2015	HG03716	IT009	ITU	Indian Telugu in the UK	male	['BI']
2016	HG03717	IT010	ITU	Indian Telugu in the UK	female	['BI']
2019	HG03720	IT052	ITU	Indian Telugu in the UK	male	['SC', 'BI']
2021	HG03722	IT002	ITU	Indian Telugu in the UK	female	['BI']
2024	HG03727	IT003	ITU	Indian Telugu in the UK	male	['BI']
2025	HG03729	IT013	ITU	Indian Telugu in the UK	male	['BI']
2026	HG03730	IT011	ITU	Indian Telugu in the UK	female	['BI']
2027	HG03731	IT013	ITU	Indian Telugu in the UK	female	['BI']
2033	HG03741	ST038	STU	Sri Lankan Tamil in the UK	female	['BI']
2054	HG03770	IT016	ITU	Indian Telugu in the UK	female	['BI']
2075	HG03793	BD15	BEB	Bengali in Bangladesh	female	['BI']
2078	HG03796	BD16	BEB	Bengali in Bangladesh	female	['BI']
2084	HG03802	BD18	BEB	Bengali in Bangladesh	female	['BI']
2358	NA06984	1328	CEU	Utah residents with Northern and Western European ancestry	male	['BI']
2360	NA06986	13291	CEU	Utah residents with Northern and Western European ancestry	male	['BI']
2361	NA06989	1328	CEU	Utah residents with Northern and Western European ancestry	female	['BI']
2376	NA07048	1341	CEU	Utah residents with Northern and Western European ancestry	male	['BI']
2377	NA07051	13292	CEU	Utah residents with Northern and Western European ancestry	male	['ILLUMINA', 'BI']
2383	NA07347	1345	CEU	Utah residents with Northern and Western European ancestry	male	['BI']
2415	NA11829	1350	CEU	Utah residents with Northern and Western European ancestry	male	['BI', 'BCM']
2416	NA11830	1350	CEU	Utah residents with Northern and Western European ancestry	female	['BI', 'BCM']
2418	NA11832	1350	CEU	Utah residents with Northern and Western European ancestry	female	['BI', 'BCM']
2429	NA11918	1423	CEU	Utah residents with Northern and Western European ancestry	female	['BI']
2431	NA11920	1423	CEU	Utah residents with Northern and Western European ancestry	female	['BI']
2450	NA12058	1344	CEU	Utah residents with Northern and Western European ancestry	female	['BI']
2543	NA18486	Y001	YRI	Yoruba in Ibadan, Nigeria	male	['BI']
2545	NA18488	Y001	YRI	Yoruba in Ibadan, Nigeria	female	['BI']
2546	NA18489	Y002	YRI	Yoruba in Ibadan, Nigeria	female	['BI']
2548	NA18498	Y003	YRI	Yoruba in Ibadan, Nigeria	male	['BI']
2549	NA18499	Y003	YRI	Yoruba in Ibadan, Nigeria	female	['BI']
2551	NA18501	Y004	YRI	Yoruba in Ibadan, Nigeria	male	['MPIMG', 'BI']
2554	NA18504	Y005	YRI	Yoruba in Ibadan, Nigeria	male	['BI']
2560	NA18510	Y010a	YRI	Yoruba in Ibadan, Nigeria	male	['BI']
2563	NA18516	Y013	YRI	Yoruba in Ibadan, Nigeria	male	['BI']
2567	NA18520	Y014	YRI	Yoruba in Ibadan, Nigeria	female	['BI']
2578	NA18533	NA18533	CHB	Han Chinese in Bejing, China	female	['BI']
2580	NA18535	NA18535	CHB	Han Chinese in Bejing, China	female	['BI']
2583	NA18538	NA18538	CHB	Han Chinese in Bejing, China	female	['BI']
2584	NA18539	NA18539	CHB	Han Chinese in Bejing, China	female	['BI']
2585	NA18541	NA18541	CHB	Han Chinese in Bejing, China	female	['BI']
2596	NA18553	NA18553	CHB	Han Chinese in Bejing, China	female	['BI']
2653	NA18632	NA18632	CHB	Han Chinese in Bejing, China	male	['BGI', 'BI']
2654	NA18633	NA18633	CHB	Han Chinese in Bejing, China	male	['BGI', 'BI']
2656	NA18635	NA18635	CHB	Han Chinese in Bejing, China	male	['BGI', 'BI']
2657	NA18636	NA18636	CHB	Han Chinese in Bejing, China	male	['BGI', 'BI']
2658	NA18637	NA18637	CHB	Han Chinese in Bejing, China	male	['BGI', 'BI']
2659	NA18638	NA18638	CHB	Han Chinese in Bejing, China	male	['BGI', 'SC', 'BI']
2693	NA18867	Y007	YRI	Yoruba in Ibadan, Nigeria	female	['BI']
2696	NA18870	Y017	YRI	Yoruba in Ibadan, Nigeria	female	['MPIMG', 'BI']
2737	NA18950	NA18950	JPT	Japanese in Tokyo, Japan	female	['BI']
2740	NA18953	NA18953	JPT	Japanese in Tokyo, Japan	male	['BI']
2745	NA18959	NA18959	JPT	Japanese in Tokyo, Japan	male	['BI']
2746	NA18960	NA18960	JPT	Japanese in Tokyo, Japan	male	['BI']
2747	NA18961	NA18961	JPT	Japanese in Tokyo, Japan	male	['BI']
2750	NA18964	NA18964	JPT	Japanese in Tokyo, Japan	female	['BI']
2768	NA18982	NA18982	JPT	Japanese in Tokyo, Japan	male	['BI']
2769	NA18983	NA18983	JPT	Japanese in Tokyo, Japan	male	['BI']
2784	NA18999	NA18999	JPT	Japanese in Tokyo, Japan	female	['BI']
2788	NA19003	NA19003	JPT	Japanese in Tokyo, Japan	female	['BI']
2795	NA19011	NA19011	JPT	Japanese in Tokyo, Japan	female	['BGI', 'BI']
2797	NA19017	NA19017	LWK	Luhya in Webuye, Kenya	female	['BI']
2798	NA19019	NA19019	LWK	Luhya in Webuye, Kenya	female	['BI']
2800	NA19023	NA19023	LWK	Luhya in Webuye, Kenya	female	['BI']
2801	NA19024	NA19024	LWK	Luhya in Webuye, Kenya	female	['BI']
2803	NA19026	NA19026	LWK	Luhya in Webuye, Kenya	male	['BI']
2806	NA19030	NA19030	LWK	Luhya in Webuye, Kenya	female	['BI']
2814	NA19043	NA19043	LWK	Luhya in Webuye, Kenya	male	['BI']
2817	NA19054	NA19054	JPT	Japanese in Tokyo, Japan	female	['BI']
2975	NA19323	NA19323	LWK	Luhya in Webuye, Kenya	female	['BI']
2981	NA19334	NA19334	LWK	Luhya in Webuye, Kenya	male	['BI']
2983	NA19346	NA19346	LWK	Luhya in Webuye, Kenya	male	['BI']
2984	NA19347	NA19347	LWK	Luhya in Webuye, Kenya	male	['BI']
2985	NA19350	NA19350	LWK	Luhya in Webuye, Kenya	male	['BI']
3056	NA19625	2357	ASW	African Ancestry in Southwest US	female	['BI']
3057	NA19648	m001	MXL	Mexican Ancestry in Los Angeles, California	female	['BI']
3058	NA19649	m001	MXL	Mexican Ancestry in Los Angeles, California	male	['BI']
3060	NA19651	m005	MXL	Mexican Ancestry in Los Angeles, California	female	['BI']
3061	NA19652	m005	MXL	Mexican Ancestry in Los Angeles, California	male	['BI']
3063	NA19654	m006	MXL	Mexican Ancestry in Los Angeles, California	female	['BI']
3064	NA19655	m006	MXL	Mexican Ancestry in Los Angeles, California	male	['BI']
3066	NA19657	m007	MXL	Mexican Ancestry in Los Angeles, California	female	['BI']
3067	NA19658	m007	MXL	Mexican Ancestry in Los Angeles, California	male	['BI']
3069	NA19660	m008	MXL	Mexican Ancestry in Los Angeles, California	female	['BI']
3070	NA19661	m008	MXL	Mexican Ancestry in Los Angeles, California	male	['BI']
3072	NA19663	m012	MXL	Mexican Ancestry in Los Angeles, California	female	['BI']
3073	NA19664	m012	MXL	Mexican Ancestry in Los Angeles, California	male	['BI']
3092	NA19700	2367	ASW	African Ancestry in Southwest US	male	['BI']
3093	NA19701	2367	ASW	African Ancestry in Southwest US	female	['BI']
3095	NA19703	2368	ASW	African Ancestry in Southwest US	male	['BI']
3096	NA19704	2368	ASW	African Ancestry in Southwest US	female	['BI']
3098	NA19707	2369	ASW	African Ancestry in Southwest US	female	['BI']
3100	NA19711	2371	ASW	African Ancestry in Southwest US	male	['BI']
3101	NA19712	2371	ASW	African Ancestry in Southwest US	female	['BI']
3102	NA19713	2436	ASW	African Ancestry in Southwest US	female	['BI']
3176	NA19818	2418	ASW	African Ancestry in Southwest US	male	['BI']
3179	NA19834	2424	ASW	African Ancestry in Southwest US	male	['BI']
3182	NA19900	2425	ASW	African Ancestry in Southwest US	male	['BI']
3284	NA20511	NA20511	TSI	Toscani in Italy	male	['BGI', 'BI']
3321	NA20587	NA20587	TSI	Toscani in Italy	female	['BI']
3334	NA20762	NA20762	TSI	Toscani in Italy	male	['BGI', 'BI']
3335	NA20763	NA20763	TSI	Toscani in Italy	male	['BGI', 'BI']
3336	NA20764	NA20764	TSI	Toscani in Italy	female	['BGI', 'BI']
3338	NA20766	NA20766	TSI	Toscani in Italy	female	['SC', 'BI']
3339	NA20767	NA20767	TSI	Toscani in Italy	male	['BGI', 'BI']
3340	NA20768	NA20768	TSI	Toscani in Italy	female	['SC', 'BI']
3341	NA20769	NA20769	TSI	Toscani in Italy	female	['SC', 'BI']
3342	NA20770	NA20770	TSI	Toscani in Italy	male	['SC', 'BI']
3343	NA20771	NA20771	TSI	Toscani in Italy	female	['SC', 'BI']
3348	NA20778	NA20778	TSI	Toscani in Italy	male	['SC', 'BI']
3387	NA20845	NA20845	GIH	Gujarati Indian in Houston,TX	male	['SC', 'BI']
3388	NA20846	NA20846	GIH	Gujarati Indian in Houston,TX	male	['SC', 'BI']
3389	NA20847	NA20847	GIH	Gujarati Indian in Houston,TX	female	['SC', 'BI']
3390	NA20849	NA20849	GIH	Gujarati Indian in Houston,TX	female	['SC', 'BI']
3391	NA20850	NA20850	GIH	Gujarati Indian in Houston,TX	male	['SC', 'BI']
3392	NA20851	NA20851	GIH	Gujarati Indian in Houston,TX	female	['SC', 'BI']
3393	NA20852	NA20852	GIH	Gujarati Indian in Houston,TX	male	['SC', 'BI']
3394	NA20853	NA20853	GIH	Gujarati Indian in Houston,TX	female	['SC', 'BI']
3395	NA20854	NA20854	GIH	Gujarati Indian in Houston,TX	female	['SC', 'BI']
3396	NA20856	NA20856	GIH	Gujarati Indian in Houston,TX	female	['SC', 'BI']
3397	NA20858	NA20858	GIH	Gujarati Indian in Houston,TX	male	['SC', 'BI']
3399	NA20861	NA20861	GIH	Gujarati Indian in Houston,TX	male	['SC', 'BI']
