Sample	Family ID	Population	Population Description	Gender
HG01812	HG01812	CDX	Chinese Dai in Xishuangbanna, China	female
HG01813	HG01813	CDX	Chinese Dai in Xishuangbanna, China	female
HG01815	HG01815	CDX	Chinese Dai in Xishuangbanna, China	female
HG01816	HG01816	CDX	Chinese Dai in Xishuangbanna, China	male
HG01817	HG01817	CDX	Chinese Dai in Xishuangbanna, China	female
HG01840	VN007	KHV	Kinh in Ho Chi Minh City, Vietnam	male
HG01841	VN008	KHV	Kinh in Ho Chi Minh City, Vietnam	female
HG01842	VN009	KHV	Kinh in Ho Chi Minh City, Vietnam	male
HG01843	VN010	KHV	Kinh in Ho Chi Minh City, Vietnam	female
HG01844	VN011	KHV	Kinh in Ho Chi Minh City, Vietnam	male
HG01845	VN012	KHV	Kinh in Ho Chi Minh City, Vietnam	female
HG01846	VN013	KHV	Kinh in Ho Chi Minh City, Vietnam	male
HG01847	VN014	KHV	Kinh in Ho Chi Minh City, Vietnam	female
HG01848	VN015	KHV	Kinh in Ho Chi Minh City, Vietnam	female
HG01849	VN016	KHV	Kinh in Ho Chi Minh City, Vietnam	male
HG01850	VN017	KHV	Kinh in Ho Chi Minh City, Vietnam	female
HG01851	VN018	KHV	Kinh in Ho Chi Minh City, Vietnam	female
HG01852	VN019	KHV	Kinh in Ho Chi Minh City, Vietnam	male
HG01853	VN020	KHV	Kinh in Ho Chi Minh City, Vietnam	female
HG01855	VN022	KHV	Kinh in Ho Chi Minh City, Vietnam	female
HG01857	VN024	KHV	Kinh in Ho Chi Minh City, Vietnam	female
HG01858	VN025	KHV	Kinh in Ho Chi Minh City, Vietnam	female
HG01859	VN026	KHV	Kinh in Ho Chi Minh City, Vietnam	female
HG01860	VN027	KHV	Kinh in Ho Chi Minh City, Vietnam	male
HG01861	VN028	KHV	Kinh in Ho Chi Minh City, Vietnam	male
HG01862	VN029	KHV	Kinh in Ho Chi Minh City, Vietnam	female
HG01863	VN030	KHV	Kinh in Ho Chi Minh City, Vietnam	female
HG01864	VN031	KHV	Kinh in Ho Chi Minh City, Vietnam	male
HG01865	VN032	KHV	Kinh in Ho Chi Minh City, Vietnam	male
HG01866	VN033	KHV	Kinh in Ho Chi Minh City, Vietnam	male
HG01867	VN034	KHV	Kinh in Ho Chi Minh City, Vietnam	male
HG01868	VN035	KHV	Kinh in Ho Chi Minh City, Vietnam	female
HG01869	VN036	KHV	Kinh in Ho Chi Minh City, Vietnam	female
HG01870	VN037	KHV	Kinh in Ho Chi Minh City, Vietnam	female
HG01871	VN038	KHV	Kinh in Ho Chi Minh City, Vietnam	female
HG01872	VN039	KHV	Kinh in Ho Chi Minh City, Vietnam	male
HG01873	VN040	KHV	Kinh in Ho Chi Minh City, Vietnam	male
HG01874	VN041	KHV	Kinh in Ho Chi Minh City, Vietnam	female
HG01878	VN045	KHV	Kinh in Ho Chi Minh City, Vietnam	female
HG01879	BB01	ACB	African Caribbean in Barbados	male
HG01880	BB01	ACB	African Caribbean in Barbados	female
HG01881	BB01	ACB	African Caribbean in Barbados	female
HG01882	BB02	ACB	African Caribbean in Barbados	male
HG01883	BB02	ACB	African Caribbean in Barbados	female
HG01884	BB03	ACB	African Caribbean in Barbados	female
HG01885	BB03	ACB	African Caribbean in Barbados	male
HG01886	BB04	ACB	African Caribbean in Barbados	female
HG01887	BB04	ACB	African Caribbean in Barbados	male
HG01888	BB02	ACB	African Caribbean in Barbados	male
HG01889	BB05	ACB	African Caribbean in Barbados	female
HG01890	BB05	ACB	African Caribbean in Barbados	male
HG01891	BB05	ACB	African Caribbean in Barbados	female
HG01892	PEL007	PEL	Peruvian in Lima, Peru	male
HG01893	PEL007	PEL	Peruvian in Lima, Peru	female
HG01894	BB06	ACB	African Caribbean in Barbados	female
HG01895	BB06	ACB	African Caribbean in Barbados	male
HG01896	BB07	ACB	African Caribbean in Barbados	female
HG01897	BB07	ACB	African Caribbean in Barbados	male
HG01898	PEL007	PEL	Peruvian in Lima, Peru	female
HG01912	BB06	ACB	African Caribbean in Barbados	male
HG01914	BB09	ACB	African Caribbean in Barbados	male
HG01915	BB09	ACB	African Caribbean in Barbados	female
HG01916	BB09	ACB	African Caribbean in Barbados	female
HG01917	PEL006	PEL	Peruvian in Lima, Peru	male
HG01918	PEL006	PEL	Peruvian in Lima, Peru	female
HG01919	PEL006	PEL	Peruvian in Lima, Peru	female
HG01920	PEL009	PEL	Peruvian in Lima, Peru	male
HG01921	PEL009	PEL	Peruvian in Lima, Peru	female
HG01922	PEL009	PEL	Peruvian in Lima, Peru	female
HG01923	PEL010	PEL	Peruvian in Lima, Peru	male
HG01924	PEL010	PEL	Peruvian in Lima, Peru	female
HG01925	PEL010	PEL	Peruvian in Lima, Peru	female
HG01926	PEL011	PEL	Peruvian in Lima, Peru	male
HG01927	PEL011	PEL	Peruvian in Lima, Peru	female
HG01928	PEL011	PEL	Peruvian in Lima, Peru	male
HG01932	PEL013	PEL	Peruvian in Lima, Peru	male
HG01933	PEL013	PEL	Peruvian in Lima, Peru	female
HG01934	PEL013	PEL	Peruvian in Lima, Peru	male
HG01935	PEL014	PEL	Peruvian in Lima, Peru	male
HG01936	PEL014	PEL	Peruvian in Lima, Peru	female
HG01937	PEL014	PEL	Peruvian in Lima, Peru	male
HG01938	PEL015	PEL	Peruvian in Lima, Peru	male
HG01939	PEL015	PEL	Peruvian in Lima, Peru	female
HG01940	PEL015	PEL	Peruvian in Lima, Peru	female
HG01941	PEL016	PEL	Peruvian in Lima, Peru	male
HG01942	PEL016	PEL	Peruvian in Lima, Peru	female
HG01943	PEL016	PEL	Peruvian in Lima, Peru	male
HG01944	PEL017	PEL	Peruvian in Lima, Peru	male
HG01945	PEL017	PEL	Peruvian in Lima, Peru	female
HG01946	PEL017	PEL	Peruvian in Lima, Peru	male
HG01947	PEL018	PEL	Peruvian in Lima, Peru	male
HG01948	PEL018	PEL	Peruvian in Lima, Peru	female
HG01949	PEL018	PEL	Peruvian in Lima, Peru	female
HG01950	PEL019	PEL	Peruvian in Lima, Peru	male
HG01951	PEL019	PEL	Peruvian in Lima, Peru	female
HG01952	PEL019	PEL	Peruvian in Lima, Peru	male
HG01953	PEL020	PEL	Peruvian in Lima, Peru	male
HG01954	PEL020	PEL	Peruvian in Lima, Peru	female
HG01955	PEL020	PEL	Peruvian in Lima, Peru	female
HG01956	BB03	ACB	African Caribbean in Barbados	female
HG01958	BB10	ACB	African Caribbean in Barbados	female
HG01959	BB10	ACB	African Caribbean in Barbados	female
HG01960	BB11	ACB	African Caribbean in Barbados	female
HG01961	PEL21	PEL	Peruvian in Lima, Peru	male
HG01965	PEL22	PEL	Peruvian in Lima, Peru	female
HG01967	PEL023	PEL	Peruvian in Lima, Peru	male
HG01968	PEL023	PEL	Peruvian in Lima, Peru	female
HG01969	PEL023	PEL	Peruvian in Lima, Peru	female
HG01970	PEL024	PEL	Peruvian in Lima, Peru	male
HG01971	PEL024	PEL	Peruvian in Lima, Peru	female
HG01972	PEL024	PEL	Peruvian in Lima, Peru	female
HG01973	PEL25	PEL	Peruvian in Lima, Peru	female
HG01974	PEL25	PEL	Peruvian in Lima, Peru	male
HG01975	PEL25	PEL	Peruvian in Lima, Peru	female
HG01976	PEL26	PEL	Peruvian in Lima, Peru	female
HG01977	PEL26	PEL	Peruvian in Lima, Peru	male
HG01978	PEL26	PEL	Peruvian in Lima, Peru	female
HG01979	PEL27	PEL	Peruvian in Lima, Peru	male
HG01980	PEL27	PEL	Peruvian in Lima, Peru	female
HG01981	PEL27	PEL	Peruvian in Lima, Peru	female
HG01982	PEL28	PEL	Peruvian in Lima, Peru	male
HG01983	PEL28	PEL	Peruvian in Lima, Peru	female
HG01984	PEL28	PEL	Peruvian in Lima, Peru	male
HG01985	BB08	ACB	African Caribbean in Barbados	female
HG01986	BB10	ACB	African Caribbean in Barbados	male
HG01987	BB12	ACB	African Caribbean in Barbados	male
HG01988	BB11	ACB	African Caribbean in Barbados	male
HG01989	BB11	ACB	African Caribbean in Barbados	female
HG01990	BB12	ACB	African Caribbean in Barbados	male
HG01991	PEL29	PEL	Peruvian in Lima, Peru	male
HG01992	PEL29	PEL	Peruvian in Lima, Peru	female
HG01993	PEL29	PEL	Peruvian in Lima, Peru	female
HG01995	PEL30	PEL	Peruvian in Lima, Peru	female
HG01997	PEL31	PEL	Peruvian in Lima, Peru	female
HG01998	PEL31	PEL	Peruvian in Lima, Peru	male
HG02002	PEL33	PEL	Peruvian in Lima, Peru	male
HG02003	PEL33	PEL	Peruvian in Lima, Peru	female
HG02004	PEL33	PEL	Peruvian in Lima, Peru	female
HG02006	PEL34	PEL	Peruvian in Lima, Peru	female
HG02008	PEL31	PEL	Peruvian in Lima, Peru	male
HG02009	BB13	ACB	African Caribbean in Barbados	male
HG02010	BB13	ACB	African Caribbean in Barbados	female
HG02011	BB13	ACB	African Caribbean in Barbados	male
HG02012	BB12	ACB	African Caribbean in Barbados	female
HG02013	BB07	ACB	African Caribbean in Barbados	male
HG02014	BB04	ACB	African Caribbean in Barbados	male
HG02015	VN046	KHV	Kinh in Ho Chi Minh City, Vietnam	male
HG02016	VN046	KHV	Kinh in Ho Chi Minh City, Vietnam	female
HG02017	VN046	KHV	Kinh in Ho Chi Minh City, Vietnam	male
HG02018	VN047	KHV	Kinh in Ho Chi Minh City, Vietnam	female
HG02019	VN047	KHV	Kinh in Ho Chi Minh City, Vietnam	female
HG02020	VN047	KHV	Kinh in Ho Chi Minh City, Vietnam	male
HG02021	VN048	KHV	Kinh in Ho Chi Minh City, Vietnam	male
HG02023	VN048	KHV	Kinh in Ho Chi Minh City, Vietnam	male
HG02024	VN049	KHV	Kinh in Ho Chi Minh City, Vietnam	female
HG02025	VN049	KHV	Kinh in Ho Chi Minh City, Vietnam	female
HG02026	VN049	KHV	Kinh in Ho Chi Minh City, Vietnam	male
HG02027	VN050	KHV	Kinh in Ho Chi Minh City, Vietnam	male
HG02028	VN050	KHV	Kinh in Ho Chi Minh City, Vietnam	female
HG02029	VN050	KHV	Kinh in Ho Chi Minh City, Vietnam	male
HG02030	VN051	KHV	Kinh in Ho Chi Minh City, Vietnam	male
HG02031	VN051	KHV	Kinh in Ho Chi Minh City, Vietnam	female
HG02032	VN051	KHV	Kinh in Ho Chi Minh City, Vietnam	male
HG02035	VN052	KHV	Kinh in Ho Chi Minh City, Vietnam	male
HG02040	VN054	KHV	Kinh in Ho Chi Minh City, Vietnam	male
HG02046	VN056	KHV	Kinh in Ho Chi Minh City, Vietnam	female
HG02047	VN056	KHV	Kinh in Ho Chi Minh City, Vietnam	male
HG02048	VN057	KHV	Kinh in Ho Chi Minh City, Vietnam	female
HG02049	VN058	KHV	Kinh in Ho Chi Minh City, Vietnam	female
HG02050	VN059	KHV	Kinh in Ho Chi Minh City, Vietnam	male
HG02051	BB14	ACB	African Caribbean in Barbados	male
HG02052	BB14	ACB	African Caribbean in Barbados	female
HG02053	BB15	ACB	African Caribbean in Barbados	male
HG02054	BB15	ACB	African Caribbean in Barbados	female
HG02055	BB15	ACB	African Caribbean in Barbados	male
HG02056	VN060	KHV	Kinh in Ho Chi Minh City, Vietnam	male
HG02057	VN060	KHV	Kinh in Ho Chi Minh City, Vietnam	female
HG02058	VN060	KHV	Kinh in Ho Chi Minh City, Vietnam	male
HG02059	VN061	KHV	Kinh in Ho Chi Minh City, Vietnam	female
HG02060	VN061	KHV	Kinh in Ho Chi Minh City, Vietnam	female
HG02061	VN061	KHV	Kinh in Ho Chi Minh City, Vietnam	male
HG02064	VN062	KHV	Kinh in Ho Chi Minh City, Vietnam	male
HG02067	VN063	KHV	Kinh in Ho Chi Minh City, Vietnam	male
HG02068	VN064	KHV	Kinh in Ho Chi Minh City, Vietnam	female
HG02069	VN064	KHV	Kinh in Ho Chi Minh City, Vietnam	female
HG02070	VN064	KHV	Kinh in Ho Chi Minh City, Vietnam	male
HG02071	VN065	KHV	Kinh in Ho Chi Minh City, Vietnam	male
HG02072	VN065	KHV	Kinh in Ho Chi Minh City, Vietnam	female
HG02073	VN065	KHV	Kinh in Ho Chi Minh City, Vietnam	male
HG02074	VN066	KHV	Kinh in Ho Chi Minh City, Vietnam	male
HG02075	VN066	KHV	Kinh in Ho Chi Minh City, Vietnam	female
HG02076	VN066	KHV	Kinh in Ho Chi Minh City, Vietnam	male
HG02077	VN067	KHV	Kinh in Ho Chi Minh City, Vietnam	male
HG02078	VN067	KHV	Kinh in Ho Chi Minh City, Vietnam	female
HG02079	VN067	KHV	Kinh in Ho Chi Minh City, Vietnam	male
HG02080	VN068	KHV	Kinh in Ho Chi Minh City, Vietnam	female
HG02081	VN068	KHV	Kinh in Ho Chi Minh City, Vietnam	female
HG02082	VN068	KHV	Kinh in Ho Chi Minh City, Vietnam	male
HG02083	VN069	KHV	Kinh in Ho Chi Minh City, Vietnam	male
HG02084	VN069	KHV	Kinh in Ho Chi Minh City, Vietnam	female
HG02085	VN069	KHV	Kinh in Ho Chi Minh City, Vietnam	male
HG02086	VN070	KHV	Kinh in Ho Chi Minh City, Vietnam	female
HG02087	VN071	KHV	Kinh in Ho Chi Minh City, Vietnam	female
HG02088	VN072	KHV	Kinh in Ho Chi Minh City, Vietnam	male
HG02089	PEL35	PEL	Peruvian in Lima, Peru	female
HG02090	PEL35	PEL	Peruvian in Lima, Peru	male
HG02091	PEL35	PEL	Peruvian in Lima, Peru	female
HG02095	BB16	ACB	African Caribbean in Barbados	female
HG02102	PEL37	PEL	Peruvian in Lima, Peru	female
HG02104	PEL38	PEL	Peruvian in Lima, Peru	male
HG02105	PEL38	PEL	Peruvian in Lima, Peru	female
HG02106	PEL38	PEL	Peruvian in Lima, Peru	female
HG02107	BB18	ACB	African Caribbean in Barbados	male
HG02108	BB18	ACB	African Caribbean in Barbados	female
HG02111	BB19	ACB	African Caribbean in Barbados	female
HG02113	VN073	KHV	Kinh in Ho Chi Minh City, Vietnam	female
HG02116	VN074	KHV	Kinh in Ho Chi Minh City, Vietnam	male
HG02120	VN076	KHV	Kinh in Ho Chi Minh City, Vietnam	male
HG02121	VN076	KHV	Kinh in Ho Chi Minh City, Vietnam	female
HG02122	VN076	KHV	Kinh in Ho Chi Minh City, Vietnam	male
HG02126	VN078	KHV	Kinh in Ho Chi Minh City, Vietnam	female
HG02127	VN078	KHV	Kinh in Ho Chi Minh City, Vietnam	female
HG02128	VN078	KHV	Kinh in Ho Chi Minh City, Vietnam	male
HG02129	VN079	KHV	Kinh in Ho Chi Minh City, Vietnam	male
HG02130	VN079	KHV	Kinh in Ho Chi Minh City, Vietnam	female
HG02131	VN079	KHV	Kinh in Ho Chi Minh City, Vietnam	male
HG02132	VN080	KHV	Kinh in Ho Chi Minh City, Vietnam	male
HG02133	VN080	KHV	Kinh in Ho Chi Minh City, Vietnam	female
HG02134	VN080	KHV	Kinh in Ho Chi Minh City, Vietnam	male
HG02135	VN081	KHV	Kinh in Ho Chi Minh City, Vietnam	male
HG02136	VN081	KHV	Kinh in Ho Chi Minh City, Vietnam	female
HG02137	VN081	KHV	Kinh in Ho Chi Minh City, Vietnam	male
HG02138	VN082	KHV	Kinh in Ho Chi Minh City, Vietnam	male
HG02139	VN083	KHV	Kinh in Ho Chi Minh City, Vietnam	female
HG02140	VN084	KHV	Kinh in Ho Chi Minh City, Vietnam	female
HG02141	VN085	KHV	Kinh in Ho Chi Minh City, Vietnam	male
HG02142	VN086	KHV	Kinh in Ho Chi Minh City, Vietnam	female
HG02143	BB20	ACB	African Caribbean in Barbados	male
HG02144	BB20	ACB	African Caribbean in Barbados	female
HG02145	BB20	ACB	African Caribbean in Barbados	male
HG02146	PEL39	PEL	Peruvian in Lima, Peru	male
HG02147	PEL39	PEL	Peruvian in Lima, Peru	female
HG02148	PEL39	PEL	Peruvian in Lima, Peru	female
HG02150	PEL40	PEL	Peruvian in Lima, Peru	male
HG02151	HG02151	CDX	Chinese Dai in Xishuangbanna, China	female
HG02152	HG02152	CDX	Chinese Dai in Xishuangbanna, China	female
HG02153	HG02153	CDX	Chinese Dai in Xishuangbanna, China	female
HG02154	HG02154	CDX	Chinese Dai in Xishuangbanna, China	female
HG02155	HG02155	CDX	Chinese Dai in Xishuangbanna, China	female
HG02156	HG02156	CDX	Chinese Dai in Xishuangbanna, China	female
HG02164	HG02164	CDX	Chinese Dai in Xishuangbanna, China	female
HG02165	HG02165	CDX	Chinese Dai in Xishuangbanna, China	female
HG02166	HG02166	CDX	Chinese Dai in Xishuangbanna, China	female
HG02168	HG02168	CDX	Chinese Dai in Xishuangbanna, China	female
HG02169	HG02169	CDX	Chinese Dai in Xishuangbanna, China	female
HG02170	HG02170	CDX	Chinese Dai in Xishuangbanna, China	female
HG02173	HG02173	CDX	Chinese Dai in Xishuangbanna, China	female
HG02176	HG02176	CDX	Chinese Dai in Xishuangbanna, China	female
HG02178	HG02178	CDX	Chinese Dai in Xishuangbanna, China	female
HG02179	HG02179	CDX	Chinese Dai in Xishuangbanna, China	female
HG02180	HG02180	CDX	Chinese Dai in Xishuangbanna, China	female
HG02181	HG02181	CDX	Chinese Dai in Xishuangbanna, China	female
HG02182	HG02182	CDX	Chinese Dai in Xishuangbanna, China	female
HG02184	HG02184	CDX	Chinese Dai in Xishuangbanna, China	female
HG02185	HG02185	CDX	Chinese Dai in Xishuangbanna, China	female
HG02186	HG02186	CDX	Chinese Dai in Xishuangbanna, China	female
HG02187	HG02187	CDX	Chinese Dai in Xishuangbanna, China	female
HG02188	HG02188	CDX	Chinese Dai in Xishuangbanna, China	female
HG02189	HG02189	CDX	Chinese Dai in Xishuangbanna, China	female
HG02190	HG02190	CDX	Chinese Dai in Xishuangbanna, China	female
HG02215	HG02215	GBR	British in England and Scotland	female
HG02217	IBS055	IBS	Iberian populations in Spain	female
HG02218	IBS055	IBS	Iberian populations in Spain	female
HG02219	IBS055	IBS	Iberian populations in Spain	male
HG02220	IBS056	IBS	Iberian populations in Spain	female
HG02221	IBS056	IBS	Iberian populations in Spain	male
HG02222	IBS056	IBS	Iberian populations in Spain	female
HG02223	IBS057	IBS	Iberian populations in Spain	female
HG02224	IBS057	IBS	Iberian populations in Spain	male
HG02225	IBS057	IBS	Iberian populations in Spain	female
HG02229	IBS059	IBS	Iberian populations in Spain	female
HG02230	IBS059	IBS	Iberian populations in Spain	female
HG02231	IBS059	IBS	Iberian populations in Spain	male
HG02232	IBS060	IBS	Iberian populations in Spain	female
HG02233	IBS060	IBS	Iberian populations in Spain	male
HG02234	IBS060	IBS	Iberian populations in Spain	male
HG02235	IBS061	IBS	Iberian populations in Spain	female
HG02236	IBS061	IBS	Iberian populations in Spain	male
HG02237	IBS061	IBS	Iberian populations in Spain	female
HG02238	IBS062	IBS	Iberian populations in Spain	male
HG02239	IBS062	IBS	Iberian populations in Spain	female
HG02240	IBS062	IBS	Iberian populations in Spain	female
HG02250	HG02250	CDX	Chinese Dai in Xishuangbanna, China	male
HG02252	PEL41	PEL	Peruvian in Lima, Peru	female
HG02253	PEL41	PEL	Peruvian in Lima, Peru	male
HG02254	PEL41	PEL	Peruvian in Lima, Peru	female
HG02255	BB21	ACB	African Caribbean in Barbados	male
HG02256	BB21	ACB	African Caribbean in Barbados	female
HG02257	BB21	ACB	African Caribbean in Barbados	female
HG02258	BB22	ACB	African Caribbean in Barbados	male
HG02259	PEL42	PEL	Peruvian in Lima, Peru	male
HG02260	PEL42	PEL	Peruvian in Lima, Peru	female
HG02261	PEL42	PEL	Peruvian in Lima, Peru	male
HG02262	PEL43	PEL	Peruvian in Lima, Peru	male
HG02265	PEL44	PEL	Peruvian in Lima, Peru	male
HG02266	PEL44	PEL	Peruvian in Lima, Peru	female
HG02267	PEL44	PEL	Peruvian in Lima, Peru	female
HG02271	PEL46	PEL	Peruvian in Lima, Peru	male
HG02272	PEL46	PEL	Peruvian in Lima, Peru	female
HG02273	PEL46	PEL	Peruvian in Lima, Peru	female
HG02274	PEL47	PEL	Peruvian in Lima, Peru	male
HG02275	PEL47	PEL	Peruvian in Lima, Peru	female
HG02276	PEL47	PEL	Peruvian in Lima, Peru	female
HG02277	PEL48	PEL	Peruvian in Lima, Peru	male
HG02278	PEL48	PEL	Peruvian in Lima, Peru	female
HG02279	PEL48	PEL	Peruvian in Lima, Peru	male
HG02280	BB23	ACB	African Caribbean in Barbados	female
HG02281	BB24	ACB	African Caribbean in Barbados	male
HG02282	BB24	ACB	African Caribbean in Barbados	female
HG02283	BB25	ACB	African Caribbean in Barbados	male
HG02284	BB26	ACB	African Caribbean in Barbados	male
HG02285	PEL49	PEL	Peruvian in Lima, Peru	male
HG02286	PEL49	PEL	Peruvian in Lima, Peru	female
HG02287	PEL49	PEL	Peruvian in Lima, Peru	female
HG02288	PEL50	PEL	Peruvian in Lima, Peru	male
HG02291	PEL51	PEL	Peruvian in Lima, Peru	male
HG02292	PEL51	PEL	Peruvian in Lima, Peru	female
HG02293	PEL51	PEL	Peruvian in Lima, Peru	female
HG02298	PEL52	PEL	Peruvian in Lima, Peru	female
HG02299	PEL52	PEL	Peruvian in Lima, Peru	male
HG02300	PEL52	PEL	Peruvian in Lima, Peru	male
HG02301	PEL53	PEL	Peruvian in Lima, Peru	female
HG02302	PEL53	PEL	Peruvian in Lima, Peru	male
HG02303	PEL53	PEL	Peruvian in Lima, Peru	female
HG02304	PEL54	PEL	Peruvian in Lima, Peru	male
HG02307	BB23	ACB	African Caribbean in Barbados	male
HG02308	BB23	ACB	African Caribbean in Barbados	female
HG02309	BB25	ACB	African Caribbean in Barbados	female
HG02312	PEL55	PEL	Peruvian in Lima, Peru	female
HG02314	BB22	ACB	African Caribbean in Barbados	male
HG02315	BB22	ACB	African Caribbean in Barbados	female
HG02316	BB27	ACB	African Caribbean in Barbados	male
HG02317	BB27	ACB	African Caribbean in Barbados	male
HG02318	BB27	ACB	African Caribbean in Barbados	female
HG02321	BB24	ACB	African Caribbean in Barbados	female
HG02322	BB28	ACB	African Caribbean in Barbados	female
HG02323	BB29	ACB	African Caribbean in Barbados	male
HG02325	BB30	ACB	African Caribbean in Barbados	female
HG02330	BB33	ACB	African Caribbean in Barbados	male
HG02332	BB16	ACB	African Caribbean in Barbados	male
HG02334	BB32	ACB	African Caribbean in Barbados	male
HG02337	BB31	ACB	African Caribbean in Barbados	female
HG02339	BB34	ACB	African Caribbean in Barbados	female
HG02343	BB35	ACB	African Caribbean in Barbados	male
HG02344	PEL56	PEL	Peruvian in Lima, Peru	male
HG02345	PEL56	PEL	Peruvian in Lima, Peru	female
HG02347	PEL57	PEL	Peruvian in Lima, Peru	male
HG02348	PEL57	PEL	Peruvian in Lima, Peru	female
HG02351	HG02351	CDX	Chinese Dai in Xishuangbanna, China	male
HG02353	HG02353	CDX	Chinese Dai in Xishuangbanna, China	male
HG02355	HG02355	CDX	Chinese Dai in Xishuangbanna, China	male
HG02356	HG02356	CDX	Chinese Dai in Xishuangbanna, China	male
HG02358	HG02358	CDX	Chinese Dai in Xishuangbanna, China	male
HG02360	HG02360	CDX	Chinese Dai in Xishuangbanna, China	male
HG02363	HG02363	CDX	Chinese Dai in Xishuangbanna, China	male
HG02364	HG02364	CDX	Chinese Dai in Xishuangbanna, China	male
HG02367	HG02367	CDX	Chinese Dai in Xishuangbanna, China	male
HG02371	CDX2	CDX	Chinese Dai in Xishuangbanna, China	male
HG02372	CDX2	CDX	Chinese Dai in Xishuangbanna, China	male
HG02373	HG02373	CDX	Chinese Dai in Xishuangbanna, China	male
HG02374	HG02374	CDX	Chinese Dai in Xishuangbanna, China	male
HG02375	HG02375	CDX	Chinese Dai in Xishuangbanna, China	male
HG02377	HG02377	CDX	Chinese Dai in Xishuangbanna, China	male
HG02379	HG02379	CDX	Chinese Dai in Xishuangbanna, China	male
HG02380	HG02380	CDX	Chinese Dai in Xishuangbanna, China	male
HG02381	HG02381	CDX	Chinese Dai in Xishuangbanna, China	male
HG02382	HG02382	CDX	Chinese Dai in Xishuangbanna, China	male
HG02383	HG02383	CDX	Chinese Dai in Xishuangbanna, China	male
HG02384	HG02384	CDX	Chinese Dai in Xishuangbanna, China	male
HG02385	HG02385	CDX	Chinese Dai in Xishuangbanna, China	male
HG02386	HG02386	CDX	Chinese Dai in Xishuangbanna, China	male
HG02387	HG02387	CDX	Chinese Dai in Xishuangbanna, China	male
HG02388	HG02388	CDX	Chinese Dai in Xishuangbanna, China	male
HG02389	HG02389	CDX	Chinese Dai in Xishuangbanna, China	male
HG02390	HG02390	CDX	Chinese Dai in Xishuangbanna, China	male
HG02391	HG02391	CDX	Chinese Dai in Xishuangbanna, China	male
HG02392	HG02392	CDX	Chinese Dai in Xishuangbanna, China	male
HG02394	HG02394	CDX	Chinese Dai in Xishuangbanna, China	male
HG02395	HG02395	CDX	Chinese Dai in Xishuangbanna, China	male
HG02396	HG02396	CDX	Chinese Dai in Xishuangbanna, China	male
HG02397	HG02397	CDX	Chinese Dai in Xishuangbanna, China	male
HG02398	HG02398	CDX	Chinese Dai in Xishuangbanna, China	male
HG02399	HG02399	CDX	Chinese Dai in Xishuangbanna, China	male
HG02401	HG02401	CDX	Chinese Dai in Xishuangbanna, China	male
HG02402	HG02402	CDX	Chinese Dai in Xishuangbanna, China	male
HG02405	HG02405	CDX	Chinese Dai in Xishuangbanna, China	male
HG02406	HG02406	CDX	Chinese Dai in Xishuangbanna, China	male
HG02407	HG02407	CDX	Chinese Dai in Xishuangbanna, China	male
HG02408	HG02408	CDX	Chinese Dai in Xishuangbanna, China	male
HG02409	HG02409	CDX	Chinese Dai in Xishuangbanna, China	male
HG02410	HG02410	CDX	Chinese Dai in Xishuangbanna, China	male
HG02415	PEL58	PEL	Peruvian in Lima, Peru	female
HG02419	BB36	ACB	African Caribbean in Barbados	female
HG02420	BB37	ACB	African Caribbean in Barbados	male
HG02425	PEL59	PEL	Peruvian in Lima, Peru	female
HG02427	BB37	ACB	African Caribbean in Barbados	female
HG02428	BB37	ACB	African Caribbean in Barbados	male
HG02429	BB39	ACB	African Caribbean in Barbados	male
HG02433	BB41	ACB	African Caribbean in Barbados	male
HG02436	BB40	ACB	African Caribbean in Barbados	male
HG02439	BB42	ACB	African Caribbean in Barbados	male
HG02442	BB43	ACB	African Caribbean in Barbados	male
HG02445	BB44	ACB	African Caribbean in Barbados	male
HG02449	BB46	ACB	African Caribbean in Barbados	male
HG02450	BB46	ACB	African Caribbean in Barbados	female
HG02451	BB46	ACB	African Caribbean in Barbados	female
HG02455	BB48	ACB	African Caribbean in Barbados	male
HG02461	GB15	GWD	Gambian in Western Division, The Gambia	male
HG02462	GB15	GWD	Gambian in Western Division, The Gambia	female
HG02463	GB15	GWD	Gambian in Western Division, The Gambia	male
HG02464	GB16	GWD	Gambian in Western Division, The Gambia	male
HG02465	GB16	GWD	Gambian in Western Division, The Gambia	female
HG02466	GB16	GWD	Gambian in Western Division, The Gambia	male
HG02470	BB49	ACB	African Caribbean in Barbados	male
HG02471	BB49	ACB	African Caribbean in Barbados	female
HG02476	BB51	ACB	African Caribbean in Barbados	female
HG02477	BB52	ACB	African Caribbean in Barbados	female
HG02478	BB53	ACB	African Caribbean in Barbados	male
HG02479	BB53	ACB	African Caribbean in Barbados	female
HG02480	BB53	ACB	African Caribbean in Barbados	female
HG02481	BB54	ACB	African Caribbean in Barbados	male
HG02484	BB55	ACB	African Caribbean in Barbados	male
HG02485	BB55	ACB	African Caribbean in Barbados	female
HG02486	BB55	ACB	African Caribbean in Barbados	male
HG02489	BB45	ACB	African Caribbean in Barbados	male
HG02490	PK06	PJL	Punjabi in Lahore,Pakistan	male
HG02491	PK06	PJL	Punjabi in Lahore,Pakistan	female
HG02492	PK06	PJL	Punjabi in Lahore,Pakistan	male
HG02493	PK07	PJL	Punjabi in Lahore,Pakistan	male
